date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:10	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:12%20GMT	https://media.giphy.com/media/9rphpL7UByRxBmC2dV/giphy.gif	/home/william/websites/asd/media.giphy.com/media/9rphpL7UByRxBmC2dV/giphy.33.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:11	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:13%20GMT	https://media.giphy.com/media/f9ShV0TsOHBUEToAyv/giphy.gif	/home/william/websites/asd/media.giphy.com/media/f9ShV0TsOHBUEToAyv/giphy.34.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:12	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:14%20GMT	https://media.giphy.com/media/xUA7aZaY17RqLOKA2A/giphy.gif	/home/william/websites/asd/media.giphy.com/media/xUA7aZaY17RqLOKA2A/giphy.35.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:13	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:16%20GMT	https://media.giphy.com/media/Iia0HT8DwUY92/giphy.gif	/home/william/websites/asd/media.giphy.com/media/Iia0HT8DwUY92/giphy.36.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:14	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:16%20GMT	https://media.giphy.com/media/Qutb3UVjT1qvXmbWxt/giphy.gif	/home/william/websites/asd/media.giphy.com/media/Qutb3UVjT1qvXmbWxt/giphy.37.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:15	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:17%20GMT	https://media.giphy.com/media/IcjHeMP8ssjIzSWh7W/giphy.gif	/home/william/websites/asd/media.giphy.com/media/IcjHeMP8ssjIzSWh7W/giphy.38.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:16	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:19%20GMT	https://media.giphy.com/media/QAgaHXyAmPMflDhbZ7/giphy.gif	/home/william/websites/asd/media.giphy.com/media/QAgaHXyAmPMflDhbZ7/giphy.39.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:17	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:20%20GMT	https://media.giphy.com/media/QyghSznfyczzf6Vxt6/giphy.gif	/home/william/websites/asd/media.giphy.com/media/QyghSznfyczzf6Vxt6/giphy.3a.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:18	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:20%20GMT	https://media.giphy.com/media/mCPP65TuCeSdVBcSf1/giphy.gif	/home/william/websites/asd/media.giphy.com/media/mCPP65TuCeSdVBcSf1/giphy.3b.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:19	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:21%20GMT	https://media.giphy.com/media/fA1JnK6Nzf6kLligpL/giphy.gif	/home/william/websites/asd/media.giphy.com/media/fA1JnK6Nzf6kLligpL/giphy.3c.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
